,Date,Time,LEVEL,WSE_ft,TEMPERATURE
59,10/1/2018 0:00,14:30:00,0.05,8.457,33.8
60,10/1/2018 0:00,14:45:00,0.053,8.46,33.5
61,10/1/2018 0:00,15:00:00,0.052,8.459,32.8
62,10/1/2018 0:00,15:15:00,0.053,8.46,32.3
63,10/1/2018 0:00,15:30:00,0.057,8.464,31.1
64,10/1/2018 0:00,15:45:00,0.053,8.46,30.7
65,10/1/2018 0:00,16:00:00,0.054,8.461,30.6
66,10/1/2018 0:00,16:15:00,0.054,8.461,29.7
67,10/1/2018 0:00,16:30:00,0.059,8.466,29.1
68,10/1/2018 0:00,16:45:00,0.056,8.463,28.6
69,10/1/2018 0:00,17:00:00,0.059,8.466,28.1
70,10/1/2018 0:00,17:15:00,0.059,8.466,27.7
71,10/1/2018 0:00,17:30:00,0.057,8.464,27
72,10/1/2018 0:00,17:45:00,0.063,8.47,25.8
73,10/1/2018 0:00,18:00:00,0.065,8.472,23.5
74,10/1/2018 0:00,18:15:00,0.056,8.463,21.7
75,10/1/2018 0:00,18:30:00,0.053,8.46,20.6
76,10/1/2018 0:00,18:45:00,0.048,8.455,19.8
77,10/1/2018 0:00,19:00:00,0.046,8.453,19.2
78,10/1/2018 0:00,19:15:00,0.046,8.453,18.7
79,10/1/2018 0:00,19:30:00,0.043,8.45,18.4
80,10/1/2018 0:00,19:45:00,0.045,8.452,18.2
81,10/1/2018 0:00,20:00:00,0.036,8.443,18
82,10/1/2018 0:00,20:15:00,0.04,8.447,17.9
83,10/1/2018 0:00,20:30:00,0.039,8.446,17.8
84,10/1/2018 0:00,20:45:00,0.04,8.447,17.6
85,10/1/2018 0:00,21:00:00,0.041,8.448,17.1
86,10/1/2018 0:00,21:15:00,0.035,8.442,16.7
87,10/1/2018 0:00,21:30:00,0.038,8.445,16.6
88,10/1/2018 0:00,21:45:00,0.035,8.442,16.2
89,10/1/2018 0:00,22:00:00,0.039,8.446,16
90,10/1/2018 0:00,22:15:00,0.034,8.441,15.8
91,10/1/2018 0:00,22:30:00,0.036,8.443,15.6
92,10/1/2018 0:00,22:45:00,0.034,8.441,15.3
93,10/1/2018 0:00,23:00:00,0.033,8.44,15.1
94,10/1/2018 0:00,23:15:00,0.037,8.444,15
95,10/1/2018 0:00,23:30:00,0.033,8.44,14.8
96,10/1/2018 0:00,23:45:00,0.036,8.443,14.7
97,10/2/2018 0:00,0:00:00,0.03,8.437,14.7
98,10/2/2018 0:00,0:15:00,0.034,8.441,14.6
99,10/2/2018 0:00,0:30:00,0.034,8.441,14.4
100,10/2/2018 0:00,0:45:00,0.029,8.436,14.5
101,10/2/2018 0:00,1:00:00,0.032,8.439,14.4
102,10/2/2018 0:00,1:15:00,0.034,8.441,14.4
103,10/2/2018 0:00,1:30:00,0.03,8.437,14.2
104,10/2/2018 0:00,1:45:00,0.031,8.438,14.1
105,10/2/2018 0:00,2:00:00,0.029,8.436,14
106,10/2/2018 0:00,2:15:00,0.034,8.441,14.1
107,10/2/2018 0:00,2:30:00,0.033,8.44,14.6
108,10/2/2018 0:00,2:45:00,0.031,8.438,15.1
109,10/2/2018 0:00,3:00:00,0.034,8.441,15.5
110,10/2/2018 0:00,3:15:00,0.034,8.441,15.9
111,10/2/2018 0:00,3:30:00,0.036,8.443,16.2
112,10/2/2018 0:00,3:45:00,0.034,8.441,16.3
113,10/2/2018 0:00,4:00:00,0.034,8.441,16.5
114,10/2/2018 0:00,4:15:00,0.039,8.446,16.7
115,10/2/2018 0:00,4:30:00,0.039,8.446,16.8
116,10/2/2018 0:00,4:45:00,0.037,8.444,16.8
117,10/2/2018 0:00,5:00:00,0.034,8.441,16.6
118,10/2/2018 0:00,5:15:00,0.034,8.441,16.2
119,10/2/2018 0:00,5:30:00,0.037,8.444,15.8
120,10/2/2018 0:00,5:45:00,0.036,8.443,15.7
121,10/2/2018 0:00,6:00:00,0.037,8.444,16.1
122,10/2/2018 0:00,6:15:00,0.034,8.441,16.1
123,10/2/2018 0:00,6:30:00,0.034,8.441,15.8
124,10/2/2018 0:00,6:45:00,0.034,8.441,16.1
125,10/2/2018 0:00,7:00:00,0.034,8.441,16.6
126,10/2/2018 0:00,7:15:00,0.035,8.442,16.9
127,10/2/2018 0:00,7:30:00,0.035,8.442,17
128,10/2/2018 0:00,7:45:00,0.035,8.442,17.3
129,10/2/2018 0:00,8:00:00,0.039,8.446,19.3
130,10/2/2018 0:00,8:15:00,0.04,8.447,20.3
131,10/2/2018 0:00,8:30:00,0.05,8.457,21.2
132,10/2/2018 0:00,8:45:00,0.049,8.456,20.8
133,10/2/2018 0:00,9:00:00,0.046,8.453,20.7
134,10/2/2018 0:00,9:15:00,0.042,8.449,21
135,10/2/2018 0:00,9:30:00,0.047,8.454,22.5
136,10/2/2018 0:00,9:45:00,0.051,8.458,23.8
137,10/2/2018 0:00,10:00:00,0.054,8.461,24.4
138,10/2/2018 0:00,10:15:00,0.048,8.455,27.6
139,10/2/2018 0:00,10:30:00,0.051,8.458,30.7
140,10/2/2018 0:00,10:45:00,0.05,8.457,29.5
141,10/2/2018 0:00,11:00:00,0.038,8.445,30.6
142,10/2/2018 0:00,11:15:00,0.052,8.459,30.8
143,10/2/2018 0:00,11:30:00,0.061,8.468,29
144,10/2/2018 0:00,11:45:00,0.058,8.465,28.3
145,10/2/2018 0:00,12:00:00,0.043,8.45,30.8
146,10/2/2018 0:00,12:15:00,0.053,8.46,31.3
147,10/2/2018 0:00,12:30:00,0.046,8.453,31.8
148,10/2/2018 0:00,12:45:00,0.057,8.464,30.7
149,10/2/2018 0:00,13:00:00,0.059,8.466,30.2
150,10/2/2018 0:00,13:15:00,0.056,8.463,29.9
151,10/2/2018 0:00,13:30:00,0.057,8.464,29.5
152,10/2/2018 0:00,13:45:00,0.062,8.469,28.6
153,10/2/2018 0:00,14:00:00,0.056,8.463,29
154,10/2/2018 0:00,14:15:00,0.06,8.467,27.8
155,10/2/2018 0:00,14:30:00,0.057,8.464,27.5
156,10/2/2018 0:00,14:45:00,0.055,8.462,27.6
157,10/2/2018 0:00,15:00:00,0.06,8.467,28.1
158,10/2/2018 0:00,15:15:00,0.06,8.467,27.6
159,10/2/2018 0:00,15:30:00,0.064,8.471,26.4
160,10/2/2018 0:00,15:45:00,0.057,8.464,25.8
161,10/2/2018 0:00,16:00:00,0.055,8.462,26
162,10/2/2018 0:00,16:15:00,0.062,8.469,26.3
163,10/2/2018 0:00,16:30:00,0.058,8.465,25.9
164,10/2/2018 0:00,16:45:00,0.057,8.464,25.3
165,10/2/2018 0:00,17:00:00,0.06,8.467,25.8
166,10/2/2018 0:00,17:15:00,0.06,8.467,25.5
167,10/2/2018 0:00,17:30:00,0.062,8.469,25.4
168,10/2/2018 0:00,17:45:00,0.065,8.472,25
169,10/2/2018 0:00,18:00:00,0.066,8.473,23.4
170,10/2/2018 0:00,18:15:00,0.057,8.464,21.7
171,10/2/2018 0:00,18:30:00,0.049,8.456,20.6
172,10/2/2018 0:00,18:45:00,0.046,8.453,19.7
173,10/2/2018 0:00,19:00:00,0.041,8.448,19.3
174,10/2/2018 0:00,19:15:00,0.048,8.455,19
175,10/2/2018 0:00,19:30:00,0.041,8.448,18.8
176,10/2/2018 0:00,19:45:00,0.045,8.452,18.7
177,10/2/2018 0:00,20:00:00,0.042,8.449,18.8
178,10/2/2018 0:00,20:15:00,0.045,8.452,19
179,10/2/2018 0:00,20:30:00,0.041,8.448,18.8
180,10/2/2018 0:00,20:45:00,0.038,8.445,18.9
181,10/2/2018 0:00,21:00:00,0.046,8.453,19.1
182,10/2/2018 0:00,21:15:00,0.045,8.452,19.2
183,10/2/2018 0:00,21:30:00,0.047,8.454,19.3
184,10/2/2018 0:00,21:45:00,0.044,8.451,19.3
185,10/2/2018 0:00,22:00:00,0.046,8.453,19.2
186,10/2/2018 0:00,22:15:00,0.043,8.45,19.1
187,10/2/2018 0:00,22:30:00,0.043,8.45,19
188,10/2/2018 0:00,22:45:00,0.038,8.445,19
189,10/2/2018 0:00,23:00:00,0.046,8.453,19
190,10/2/2018 0:00,23:15:00,0.043,8.45,18.9
191,10/2/2018 0:00,23:30:00,0.043,8.45,18.8
192,10/2/2018 0:00,23:45:00,0.042,8.449,18.8
193,10/3/2018 0:00,0:00:00,0.047,8.454,18.8
194,10/3/2018 0:00,0:15:00,0.041,8.448,18.7
195,10/3/2018 0:00,0:30:00,0.041,8.448,18.7
196,10/3/2018 0:00,0:45:00,0.044,8.451,18.7
197,10/3/2018 0:00,1:00:00,0.045,8.452,18.7
198,10/3/2018 0:00,1:15:00,0.046,8.453,18.6
199,10/3/2018 0:00,1:30:00,0.04,8.447,18.5
200,10/3/2018 0:00,1:45:00,0.046,8.453,18.5
201,10/3/2018 0:00,2:00:00,0.044,8.451,18.5
202,10/3/2018 0:00,2:15:00,0.045,8.452,18.5
203,10/3/2018 0:00,2:30:00,0.045,8.452,18.5
204,10/3/2018 0:00,2:45:00,0.042,8.449,18.5
205,10/3/2018 0:00,3:00:00,0.04,8.447,18.5
206,10/3/2018 0:00,3:15:00,0.041,8.448,18.6
207,10/3/2018 0:00,3:30:00,0.043,8.45,18.6
208,10/3/2018 0:00,3:45:00,0.044,8.451,18.5
209,10/3/2018 0:00,4:00:00,0.042,8.449,18.4
210,10/3/2018 0:00,4:15:00,0.041,8.448,18.4
211,10/3/2018 0:00,4:30:00,0.041,8.448,18.3
212,10/3/2018 0:00,4:45:00,0.045,8.452,18.2
213,10/3/2018 0:00,5:00:00,0.041,8.448,18.2
214,10/3/2018 0:00,5:15:00,0.037,8.444,18.2
215,10/3/2018 0:00,5:30:00,0.037,8.444,18.2
216,10/3/2018 0:00,5:45:00,0.042,8.449,18.2
217,10/3/2018 0:00,6:00:00,0.044,8.451,18.3
218,10/3/2018 0:00,6:15:00,0.043,8.45,18.4
219,10/3/2018 0:00,6:30:00,0.045,8.452,18.4
220,10/3/2018 0:00,6:45:00,0.042,8.449,18.4
221,10/3/2018 0:00,7:00:00,0.038,8.445,18
222,10/3/2018 0:00,7:15:00,0.038,8.445,17.8
223,10/3/2018 0:00,7:30:00,0.036,8.443,17.8
224,10/3/2018 0:00,7:45:00,0.042,8.449,17.7
225,10/3/2018 0:00,8:00:00,0.04,8.447,17.4
226,10/3/2018 0:00,8:15:00,0.041,8.448,17.2
227,10/3/2018 0:00,8:30:00,0.038,8.445,17
228,10/3/2018 0:00,8:45:00,0.038,8.445,17
229,10/3/2018 0:00,9:00:00,0.039,8.446,17.1
230,10/3/2018 0:00,9:15:00,0.035,8.442,17.1
231,10/3/2018 0:00,9:30:00,0.042,8.449,17.3
232,10/3/2018 0:00,9:45:00,0.044,8.451,17.3
233,10/3/2018 0:00,10:00:00,0.033,8.44,17.1
234,10/3/2018 0:00,10:15:00,0.036,8.443,17
235,10/3/2018 0:00,10:30:00,0.038,8.445,16.9
236,10/3/2018 0:00,10:45:00,0.039,8.446,17.3
237,10/3/2018 0:00,11:00:00,0.037,8.444,18.3
238,10/3/2018 0:00,11:15:00,0.037,8.444,18.8
239,10/3/2018 0:00,11:30:00,0.047,8.454,18.5
240,10/3/2018 0:00,11:45:00,0.044,8.451,18.6
241,10/3/2018 0:00,12:00:00,0.04,8.447,18.4
242,10/3/2018 0:00,12:15:00,0.042,8.449,18.5
243,10/3/2018 0:00,12:30:00,0.038,8.445,18.8
244,10/3/2018 0:00,12:45:00,0.041,8.448,18.2
245,10/3/2018 0:00,13:00:00,0.041,8.448,17.9
246,10/3/2018 0:00,13:15:00,0.071,8.478,17.9
247,10/3/2018 0:00,13:30:00,0.121,8.528,18.5
248,10/3/2018 0:00,13:45:00,0.119,8.526,19
249,10/3/2018 0:00,14:00:00,0.108,8.515,19.2
250,10/3/2018 0:00,14:15:00,0.099,8.506,19.3
251,10/3/2018 0:00,14:30:00,0.099,8.506,19.4
252,10/3/2018 0:00,14:45:00,0.09,8.497,19.7
253,10/3/2018 0:00,15:00:00,0.089,8.496,19.6
254,10/3/2018 0:00,15:15:00,0.087,8.494,19.8
255,10/3/2018 0:00,15:30:00,0.084,8.491,19.7
256,10/3/2018 0:00,15:45:00,0.085,8.492,19.7
257,10/3/2018 0:00,16:00:00,0.083,8.49,20.1
258,10/3/2018 0:00,16:15:00,0.082,8.489,20.1
259,10/3/2018 0:00,16:30:00,0.086,8.493,20.4
260,10/3/2018 0:00,16:45:00,0.086,8.493,20.6
261,10/3/2018 0:00,17:00:00,0.086,8.493,20.5
262,10/3/2018 0:00,17:15:00,0.084,8.491,20.3
263,10/3/2018 0:00,17:30:00,0.084,8.491,20
264,10/3/2018 0:00,17:45:00,0.082,8.489,20
265,10/3/2018 0:00,18:00:00,0.082,8.489,20
266,10/3/2018 0:00,18:15:00,0.083,8.49,19.7
267,10/3/2018 0:00,18:30:00,0.081,8.488,19.5
268,10/3/2018 0:00,18:45:00,0.082,8.489,19.3
269,10/3/2018 0:00,19:00:00,0.081,8.488,19.1
270,10/3/2018 0:00,19:15:00,0.08,8.487,19.1
271,10/3/2018 0:00,19:30:00,0.082,8.489,19.1
272,10/3/2018 0:00,19:45:00,0.083,8.49,19.1
273,10/3/2018 0:00,20:00:00,0.081,8.488,18.8
274,10/3/2018 0:00,20:15:00,0.076,8.483,18.3
275,10/3/2018 0:00,20:30:00,0.072,8.479,17.8
276,10/3/2018 0:00,20:45:00,0.071,8.478,17.5
277,10/3/2018 0:00,21:00:00,0.07,8.477,17.3
278,10/3/2018 0:00,21:15:00,0.067,8.474,17.1
279,10/3/2018 0:00,21:30:00,0.065,8.472,16.9
280,10/3/2018 0:00,21:45:00,0.066,8.473,16.7
281,10/3/2018 0:00,22:00:00,0.067,8.474,16.6
282,10/3/2018 0:00,22:15:00,0.067,8.474,16.3
283,10/3/2018 0:00,22:30:00,0.063,8.47,16.1
284,10/3/2018 0:00,22:45:00,0.064,8.471,15.8
285,10/3/2018 0:00,23:00:00,0.061,8.468,15.7
286,10/3/2018 0:00,23:15:00,0.06,8.467,15.5
287,10/3/2018 0:00,23:30:00,0.057,8.464,15.2
288,10/3/2018 0:00,23:45:00,0.056,8.463,15
289,10/4/2018 0:00,0:00:00,0.058,8.465,14.9
290,10/4/2018 0:00,0:15:00,0.054,8.461,14.7
291,10/4/2018 0:00,0:30:00,0.056,8.463,14.6
292,10/4/2018 0:00,0:45:00,0.057,8.464,14.9
293,10/4/2018 0:00,1:00:00,0.057,8.464,15.1
294,10/4/2018 0:00,1:15:00,0.057,8.464,15
295,10/4/2018 0:00,1:30:00,0.054,8.461,14.8
296,10/4/2018 0:00,1:45:00,0.056,8.463,14.5
297,10/4/2018 0:00,2:00:00,0.055,8.462,14.4
298,10/4/2018 0:00,2:15:00,0.053,8.46,14.5
299,10/4/2018 0:00,2:30:00,0.055,8.462,14.6
300,10/4/2018 0:00,2:45:00,0.049,8.456,14.5
301,10/4/2018 0:00,3:00:00,0.052,8.459,14.6
302,10/4/2018 0:00,3:15:00,0.056,8.463,14.8
303,10/4/2018 0:00,3:30:00,0.055,8.462,15.2
304,10/4/2018 0:00,3:45:00,0.056,8.463,15.4
305,10/4/2018 0:00,4:00:00,0.056,8.463,15.7
306,10/4/2018 0:00,4:15:00,0.058,8.465,15.8
307,10/4/2018 0:00,4:30:00,0.062,8.469,16
308,10/4/2018 0:00,4:45:00,0.057,8.464,16.1
309,10/4/2018 0:00,5:00:00,0.057,8.464,16.3
310,10/4/2018 0:00,5:15:00,0.057,8.464,16.3
311,10/4/2018 0:00,5:30:00,0.054,8.461,16.2
312,10/4/2018 0:00,5:45:00,0.052,8.459,16.2
313,10/4/2018 0:00,6:00:00,0.053,8.46,16
314,10/4/2018 0:00,6:15:00,0.055,8.462,16.1
315,10/4/2018 0:00,6:30:00,0.053,8.46,16.2
316,10/4/2018 0:00,6:45:00,0.052,8.459,16.3
317,10/4/2018 0:00,7:00:00,0.054,8.461,16.2
318,10/4/2018 0:00,7:15:00,0.05,8.457,16.1
319,10/4/2018 0:00,7:30:00,0.055,8.462,16.2
320,10/4/2018 0:00,7:45:00,0.053,8.46,16.6
321,10/4/2018 0:00,8:00:00,0.06,8.467,17.4
322,10/4/2018 0:00,8:15:00,0.058,8.465,18
323,10/4/2018 0:00,8:30:00,0.063,8.47,18.2
324,10/4/2018 0:00,8:45:00,0.063,8.47,18.3
325,10/4/2018 0:00,9:00:00,0.064,8.471,19.8
326,10/4/2018 0:00,9:15:00,0.081,8.488,22.5
327,10/4/2018 0:00,9:30:00,0.09,8.497,23.8
328,10/4/2018 0:00,9:45:00,0.098,8.505,25.5
329,10/4/2018 0:00,10:00:00,0.092,8.499,26.1
330,10/4/2018 0:00,10:15:00,0.094,8.501,26.7
331,10/4/2018 0:00,10:30:00,0.086,8.493,27.3
332,10/4/2018 0:00,10:45:00,0.089,8.496,27.7
333,10/4/2018 0:00,11:00:00,0.08,8.487,27.8
334,10/4/2018 0:00,11:15:00,0.072,8.479,27.7
335,10/4/2018 0:00,11:30:00,0.074,8.481,27.7
336,10/4/2018 0:00,11:45:00,0.067,8.474,28
337,10/4/2018 0:00,12:00:00,0.071,8.478,28
338,10/4/2018 0:00,12:15:00,0.07,8.477,27.8
339,10/4/2018 0:00,12:30:00,0.068,8.475,27.7
340,10/4/2018 0:00,12:45:00,0.066,8.473,27.5
341,10/4/2018 0:00,13:00:00,0.066,8.473,27.5
342,10/4/2018 0:00,13:15:00,0.064,8.471,27.4
343,10/4/2018 0:00,13:30:00,0.061,8.468,27.4
344,10/4/2018 0:00,13:45:00,0.06,8.467,27.2
345,10/4/2018 0:00,14:00:00,0.053,8.46,27.1
346,10/4/2018 0:00,14:15:00,0.05,8.457,26.8
347,10/4/2018 0:00,14:30:00,0.052,8.459,26.4
348,10/4/2018 0:00,14:45:00,0.05,8.457,26.3
349,10/4/2018 0:00,15:00:00,0.043,8.45,25.8
350,10/4/2018 0:00,15:15:00,0.044,8.451,25.5
351,10/4/2018 0:00,15:30:00,0.051,8.458,25.2
352,10/4/2018 0:00,15:45:00,0.059,8.466,24.8
353,10/4/2018 0:00,16:00:00,0.056,8.463,24.3
354,10/4/2018 0:00,16:15:00,0.054,8.461,24
355,10/4/2018 0:00,16:30:00,0.06,8.467,23.6
356,10/4/2018 0:00,16:45:00,0.06,8.467,23.5
357,10/4/2018 0:00,17:00:00,0.058,8.465,23
358,10/4/2018 0:00,17:15:00,0.054,8.461,22.4
359,10/4/2018 0:00,17:30:00,0.052,8.459,21.9
360,10/4/2018 0:00,17:45:00,0.055,8.462,21.1
361,10/4/2018 0:00,18:00:00,0.053,8.46,20.3
362,10/4/2018 0:00,18:15:00,0.044,8.451,19.7
363,10/4/2018 0:00,18:30:00,0.044,8.451,19.3
364,10/4/2018 0:00,18:45:00,0.046,8.453,18.9
365,10/4/2018 0:00,19:00:00,0.045,8.452,18.5
366,10/4/2018 0:00,19:15:00,0.043,8.45,18.1
367,10/4/2018 0:00,19:30:00,0.044,8.451,17.8
368,10/4/2018 0:00,19:45:00,0.039,8.446,17.5
369,10/4/2018 0:00,20:00:00,0.037,8.444,17
370,10/4/2018 0:00,20:15:00,0.037,8.444,16.6
371,10/4/2018 0:00,20:30:00,0.037,8.444,16.5
372,10/4/2018 0:00,20:45:00,0.041,8.448,16.1
373,10/4/2018 0:00,21:00:00,0.037,8.444,16
374,10/4/2018 0:00,21:15:00,0.035,8.442,15.8
375,10/4/2018 0:00,21:30:00,0.035,8.442,15.5
376,10/4/2018 0:00,21:45:00,0.033,8.44,15.5
377,10/4/2018 0:00,22:00:00,0.032,8.439,15.2
378,10/4/2018 0:00,22:15:00,0.033,8.44,15.2
379,10/4/2018 0:00,22:30:00,0.031,8.438,14.9
380,10/4/2018 0:00,22:45:00,0.035,8.442,14.6
381,10/4/2018 0:00,23:00:00,0.035,8.442,14.5
382,10/4/2018 0:00,23:15:00,0.035,8.442,14.8
383,10/4/2018 0:00,23:30:00,0.033,8.44,14.7
384,10/4/2018 0:00,23:45:00,0.032,8.439,14.5
385,10/5/2018 0:00,0:00:00,0.03,8.437,14.2
386,10/5/2018 0:00,0:15:00,0.034,8.441,14.3
387,10/5/2018 0:00,0:30:00,0.033,8.44,14.1
388,10/5/2018 0:00,0:45:00,0.03,8.437,14.1
389,10/5/2018 0:00,1:00:00,0.034,8.441,14.1
390,10/5/2018 0:00,1:15:00,0.03,8.437,13.8
391,10/5/2018 0:00,1:30:00,0.029,8.436,13.5
392,10/5/2018 0:00,1:45:00,0.029,8.436,13.2
393,10/5/2018 0:00,2:00:00,0.032,8.439,13
394,10/5/2018 0:00,2:15:00,0.031,8.438,12.8
395,10/5/2018 0:00,2:30:00,0.029,8.436,12.7
396,10/5/2018 0:00,2:45:00,0.029,8.436,12.5
397,10/5/2018 0:00,3:00:00,0.031,8.438,12.3
398,10/5/2018 0:00,3:15:00,0.029,8.436,12.2
399,10/5/2018 0:00,3:30:00,0.031,8.438,12
400,10/5/2018 0:00,3:45:00,0.028,8.435,11.9
401,10/5/2018 0:00,4:00:00,0.028,8.435,11.7
402,10/5/2018 0:00,4:15:00,0.028,8.435,11.4
403,10/5/2018 0:00,4:30:00,0.028,8.435,11.3
404,10/5/2018 0:00,4:45:00,0.027,8.434,11.2
405,10/5/2018 0:00,5:00:00,0.026,8.433,11.2
406,10/5/2018 0:00,5:15:00,0.025,8.432,11.1
407,10/5/2018 0:00,5:30:00,0.024,8.431,11
408,10/5/2018 0:00,5:45:00,0.023,8.43,10.8
409,10/5/2018 0:00,6:00:00,0.027,8.434,10.8
410,10/5/2018 0:00,6:15:00,0.026,8.433,10.8
411,10/5/2018 0:00,6:30:00,0.03,8.437,10.7
412,10/5/2018 0:00,6:45:00,0.026,8.433,10.5
413,10/5/2018 0:00,7:00:00,0.026,8.433,10.5
414,10/5/2018 0:00,7:15:00,0.027,8.434,10.5
415,10/5/2018 0:00,7:30:00,0.025,8.432,10.8
416,10/5/2018 0:00,7:45:00,0.025,8.432,11.7
417,10/5/2018 0:00,8:00:00,0.027,8.434,14.9
418,10/5/2018 0:00,8:15:00,0.044,8.451,18.9
419,10/5/2018 0:00,8:30:00,0.064,8.471,22.6
420,10/5/2018 0:00,8:45:00,0.072,8.479,24.7
421,10/5/2018 0:00,9:00:00,0.07,8.477,24.8
422,10/5/2018 0:00,9:15:00,0.064,8.471,25.5
423,10/5/2018 0:00,9:30:00,0.06,8.467,25.9
424,10/5/2018 0:00,9:45:00,0.064,8.471,26.1
425,10/5/2018 0:00,10:00:00,0.059,8.466,26.6
426,10/5/2018 0:00,10:15:00,0.06,8.467,27.5
427,10/5/2018 0:00,10:30:00,0.058,8.465,28
428,10/5/2018 0:00,10:45:00,0.05,8.457,28.2
429,10/5/2018 0:00,11:00:00,0.057,8.464,27.6
430,10/5/2018 0:00,11:15:00,0.051,8.458,27
431,10/5/2018 0:00,11:30:00,0.057,8.464,26.8
432,10/5/2018 0:00,11:45:00,0.054,8.461,27
433,10/5/2018 0:00,12:00:00,0.05,8.457,27.8
434,10/5/2018 0:00,12:15:00,0.059,8.466,28.1
435,10/5/2018 0:00,12:30:00,0.055,8.462,28.3
436,10/5/2018 0:00,12:45:00,0.059,8.466,28.7
437,10/5/2018 0:00,13:00:00,0.058,8.465,29.7
438,10/5/2018 0:00,13:15:00,0.058,8.465,29.9
439,10/5/2018 0:00,13:30:00,0.057,8.464,30.3
440,10/5/2018 0:00,13:45:00,0.059,8.466,30.2
441,10/5/2018 0:00,14:00:00,0.058,8.465,29.4
442,10/5/2018 0:00,14:15:00,0.058,8.465,29.3
443,10/5/2018 0:00,14:30:00,0.059,8.466,29
444,10/5/2018 0:00,14:45:00,0.057,8.464,29.1
445,10/5/2018 0:00,15:00:00,0.058,8.465,29.4
446,10/5/2018 0:00,15:15:00,0.059,8.466,29
447,10/5/2018 0:00,15:30:00,0.055,8.462,28.7
448,10/5/2018 0:00,15:45:00,0.06,8.467,28.4
449,10/5/2018 0:00,16:00:00,0.056,8.463,28
450,10/5/2018 0:00,16:15:00,0.056,8.463,28.1
451,10/5/2018 0:00,16:30:00,0.06,8.467,27.9
452,10/5/2018 0:00,16:45:00,0.06,8.467,27.5
